ninteenth	nineteenth
predicatble	predictable
predicitons	predictions
predomiantly	predominately
prefered	preferred
prefering	preferring
preferrably	preferably
pregancies	pregnancies
preiod	period
preliferation	proliferation
premeire	premiere
premeired	premiered
premillenial	premillennial
preminence	preeminence
premission	permission
premonasterians	premonstratensians
preocupation	preoccupation
prepair	prepare
prepartion	preparation
prepatory	preparatory
preperation	preparation
preperations	preparations
preriod	period
presedential	presidential
presense	presence
presidenital	presidential
presidental	presidential
presitgious	prestigious
prespective	perspective
prestigeous	prestigious
prestigous	prestigious
villify	vilify
villin	villi
villin	villain
villin	villein
vincinity	vicinity
violentce	violence
virtualy	virtually
virutal	virtual
virutally	virtually
visable	visible
visably	visibly
visting	visiting
vistors	visitors
vitories	victories
volcanoe	volcano
voleyball	volleyball
volontary	voluntary
volonteer	volunteer
volonteered	volunteered
volonteering	volunteering
volonteers	volunteers
volounteer	volunteer
volounteered	volunteered
volounteering	volunteering
volounteers	volunteers
volumne	volume
vreity	variety
vrey	very
vriety	variety
vulnerablility	vulnerability
vyer	very
vyre	very
waht	what
warantee	warranty
wardobe	wardrobe
warrent	warrant
warrriors	warriors
wass	was
watn	want
wayword	wayward
weaponary	weaponry
weas	was
wehn	when
weild	wield
weild	wild
weilded	wielded
wendsay	wednesday
wensday	wednesday
wereabouts	whereabouts
whant	want
whants	wants
whcih	which
wheras	whereas
wherease	whereas
whereever	wherever
whic	which
whihc	which
whith	with
whlch	which
whn	when
wholey	wholly
wholy	wholly
wholy	holy
whta	what
whther	whether
wich	which
wich	witch
widesread	widespread
wief	wife
wierd	weird
wiew	view
wih	with
wiht	with
wille	will
willk	will
willingless	willingness
wirting	writing
withdrawl	withdrawal
withdrawl	withdraw
witheld	withheld
withh	with
withing	within
withold	withhold
witht	with
witn	with
wiull	will
wnat	want
wnated	wanted
wnats	wants
wohle	whole
wokr	work
wokring	working
wonderfull	wonderful
wordlwide	worldwide
workststion	workstation
worls	world
worstened	worsened
woudl	would
wresters	wrestlers
wriet	write
writen	written
wroet	wrote
wrok	work
wroking	working
wtih	with
wupport	support
xenophoby	xenophobia
yaching	yachting
yaer	year
yaerly	yearly
yaers	years
yatch	yacht
yearm	year
yeasr	years
yeild	yield
yeilding	yielding
yera	year
yrea	year
yeras	years
yersa	years
yotube	youtube
youseff	yousef
youself	yourself
ytou	you
yuo	you
zeebra	zebra
hallowean	halloween
thast	that
